idx,sha,short,data,bss,tdata,tbss,total,subject
0,096ebac78c22f888a72ceac24a22f0b2c0e47230,096ebac7,74804,123936,0,0,198740,"Stage 10: TTY window state + baseline snapshot for new envs"
1,aec522d63c3d940103e61bf4c9e06b4a803cde75,aec522d6,74772,122240,0,8,197020,"nle_state Option B: stages 6'/8'/9'AB/10' direct migration + TLS pointer"
2,d371f66b60df4ed37a21392132bc077548c7f5e2,d371f66b,74772,122240,0,8,197020,"multi_threaded.c: OMP scaling bench (currently demonstrates the race)"
3,b70ad95ab990d8f26fed756c03fa4b904a6bc69e,b70ad95a,74772,122240,0,8,197020,"REFACTOR_OPTION_B_LOG: Option A vs Option B end-of-session comparison"
4,39300c679e9590ba397f44b206c69b6723940126,39300c67,18836,49536,62546,72640,203558,"nle_state Option A: TLS NEARDATA — 2-thread parallel step works"
5,3fb34db1b99b871e8fd2079c95363ea7816359c7,3fb34db1,18836,47584,62546,74560,203526,"wintty.c: TLS the file-scope static variables (tty_status; etc.)"
6,160f9aaa24654adaf2725b53e0e288dc2c6f9884,160f9aaa,18836,47584,62546,74560,203526,"light.c: TLS light_base — fix race in any_light_source() across threads"
7,a9e2a84cd52cbf1aa9de6ea119103aff14935123,a9e2a84c,18836,47296,62546,74944,203622,"src/*.c: TLS file-scope list heads + pline.c message state"
8,c22eeb2e6cfb16fa94ef7e01acadc425c154fb5d,c22eeb2e,18772,47136,62578,75056,203542,"src/*.c: bulk-TLS file-scope static vars with constant initializers"
9,c219527eeee945eb8f4cfcdfd04e81c28138e56c,c219527e,18772,47104,62578,75064,203518,"tty/{topl;termcap}.c: TLS the remaining file-scope statics"
10,962b40f5117a0626f1fcc545b8703a2ebf2896be,962b40f5,18772,47104,62578,75064,203518,"nle.c: skip swap_in/load_from when same env steps repeatedly on a thread"
11,13eac46a8244fd873aa3a5dd0152f8383f9a69b2,13eac46a,18772,47104,62578,75064,203518,"nle.c: skip swap_out too — TLS holds state until eviction"
12,6cd3670ffd1e49ef0591c03370cc08da8253cec7,6cd3670f,18772,47104,62578,75064,203518,"REFACTOR_OPTION_B_LOG: final session summary"
13,946f9076f6858b5687af4c9b5c0c7117d70cf6f0,946f9076,18772,47104,62578,74504,202958,"Stage 9' batch C: heap-migrate youmonst/urealtime/spl_book/m_shot/quest_status"
14,fe7e974530ee666eefc07c074acf3073ae696995,fe7e9745,18772,47104,62578,73352,201806,"Stage 9' batch C: heap-migrate mvitals (struct-tag rename + macro)"
15,3f7d1a50cc85c9c38f4c977c2c44abf22d55b6fd,3f7d1a50,18772,47104,62578,73080,201534,"Stage 9' batch C: heap-migrate killer (rename u_conduct field too)"
16,9e431a21cf753a23146357e937f3f5ff41660bbf,9e431a21,18772,46592,62578,53400,181342,"Stage 7' partial: heap-migrate rooms/doors/level_info/lastseentyp/ ftrap/subrooms/upstairs_room/dnstairs_room/sstairs_room"
17,66b17fe0be2f147440edab1da767b57429e29c5c,66b17fe0,18772,46592,62578,53400,181342,"REFACTOR_REPORT: update with heap-migration progress"
18,4a1e8bafac88504a42c79715d93b4d35430158bb,4a1e8baf,18772,46592,62578,53400,181342,"paniclog: drop the fopen/fwrite/fclose under PANICLOG"
19,a2d1e3c904119aecfd30b0c4cfa586a741442ba0,a2d1e3c9,18772,46592,62578,53400,181342,"REFACTOR_REPORT + bench data: linear-scaling happy path + residual race"
20,e76cc5529b762db5d76b453cf41a808230ab73a9,e76cc552,46292,46592,35074,53400,181358,"mons[]: remove NEARDATA so the master monster table is shared; not TLS"
21,6f94622b8639794062dc173b21bbc8955d248aa9,6f94622b,46292,46656,35074,53416,181438,"TLS timer_base + serialize the death path"
22,dd459f3bc24f8d1caeb979ef3da1e766b6553e95,dd459f3b,46292,46656,35074,53416,181438,"nle_end: swap_in the env's state before cleanup"
23,f45b31c5c37d7b14ad77f4ef5576ecd0a5e737b2,f45b31c5,46292,46656,35074,53416,181438,"REFACTOR_REPORT: log the race-fix sequence"
24,46c91b5e1a773106eecec24bbb47bc4994ec1e97,46c91b5e,46292,46016,35074,54008,181390,"windows.c: TLS the status_* shared arrays"
25,8f035a62d0281da1e2e9fbfe9f8166d9abaee80e,8f035a62,46292,46016,35074,53992,181374,"Stage 8' completion: heap-migrate tc_gbl_data"
26,1be6243d61a8be199a4fc90b3661e1f5d6719656,1be6243d,46292,46016,35074,13624,141006,"Stage 7' completion: heap-migrate level (dlevel_t — 40 KB single global)"
27,f17dd587bd2a511396072134e9c961c2d68dbb12,f17dd587,46292,46016,35074,11496,138878,"Heap-migrate Cmd (struct cmd; 2128 bytes)"
