wall_sec,uptime_sec,steps_raw,sps_raw,epoch,episode_return,episode_length,depth,valid_moves,illegal_actions,new_tiles,gpu_pct,vram_mb,arena_rss_mb
0,,,,,,,,,,,,,1
30,0d0h0m27skl0.008,999.4K,40.2K,61,2.100,2536.000,0.000,91.000,0.000,21.000,4,1.8,1
60,0d0h0m57skl0.005,2.2M,41.3K,135,3.100,6666.000,0.000,50.000,0.000,31.000,15,1.8,1
90,0d0h1m27skl0.001,3.5M,41.4K,211,3.100,6666.000,0.000,50.000,0.000,31.000,4,1.8,1
120,0d0h1m57skl0.001,4.7M,41.4K,287,3.100,6666.000,0.000,50.000,0.000,31.000,4,1.8,1
150,0d0h2m27skl0.000,5.9M,41.8K,363,3.100,6666.000,0.000,50.000,0.000,31.000,16,1.8,1
181,0d0h2m56skl0.002,7.2M,41.0K,437,3.100,6666.000,0.000,50.000,0.000,31.000,4,1.8,1
211,0d0h3m26skl0.000,8.4M,41.5K,513,3.100,6666.000,0.000,50.000,0.000,31.000,4,1.8,1
241,0d0h3m57skl0.000,9.7M,41.8K,591,3.100,6666.000,0.000,50.000,0.000,31.000,16,1.8,1
271,0d0h4m27skl0.000,10.9M,41.7K,667,3.100,6666.000,0.000,50.000,0.000,31.000,4,1.8,1
301,0d0h4m57skl0.002,12.2M,41.6K,743,3.100,6666.000,0.000,50.000,0.000,31.000,4,1.8,1
331,0d0h5m27skl-0.000,13.4M,41.8K,819,3.100,6666.000,0.000,50.000,0.000,31.000,4,1.8,1
361,0d0h5m57skl0.000,14.7M,42.0K,895,3.100,6666.000,0.000,50.000,0.000,31.000,4,1.8,1
391,0d0h6m27skl0.000,15.9M,42.0K,973,3.100,6666.000,0.000,50.000,0.000,31.000,16,2.2,1
421,0d0h6m57skl0.000,17.2M,42.0K,1049,3.100,6666.000,0.000,50.000,0.000,31.000,16,1.8,1
451,0d0h7m27skl-0.000,18.5M,41.8K,1127,3.100,6666.000,0.000,50.000,0.000,31.000,4,1.8,1
481,0d0h7m57skl0.000,19.7M,41.7K,1203,3.100,6666.000,0.000,50.000,0.000,31.000,4,1.8,1
511,0d0h8m27skl0.000,21.0M,41.8K,1279,3.100,6666.000,0.000,50.000,0.000,31.000,16,1.8,1
541,0d0h8m57skl-0.000,22.2M,41.4K,1355,3.100,6666.000,0.000,50.000,0.000,31.000,17,1.8,1
571,0d0h9m27skl0.000,23.4M,41.8K,1431,3.100,6666.000,0.000,50.000,0.000,31.000,16,1.8,1
601,0d0h9m58skl0.000,24.7M,42.0K,1509,3.100,6666.000,0.000,50.000,0.000,31.000,14,1.8,1
631,0d0h10mkl0.001,26.0M,41.7K,1585,3.100,6666.000,0.000,50.000,0.000,31.000,7,1.8,1
661,0d0h10mkl0.000,27.2M,41.5K,1661,3.100,6666.000,0.000,50.000,0.000,31.000,4,1.8,1
691,0d0h11mkl0.001,28.5M,41.4K,1737,3.100,6666.000,0.000,50.000,0.000,31.000,4,1.8,1
722,0d0h11mkl0.000,29.7M,41.7K,1813,3.100,6666.000,0.000,50.000,0.000,31.000,4,1.8,1
