wall_sec,uptime_sec,steps,sps,epoch,episode_return,episode_length,depth,valid_moves,illegal_actions,new_tiles,gpu_pct,vram_mb,arena_rss_mb
0,,,,,,,,,,,,,1
30,0d 0h 0m 20s kl 0.004 ,729.1K,37.1K,178,1.700,9006.000,0.000,160.000,2.000,27.000,21,922,1
60,0d 0h 0m 50s kl 0.000 ,1.8M,36.4K,448,2.700,11333.000,0.000,82.000,0.000,27.000,24,922,1
90,0d 0h 1m 20s kl 0.000 ,2.9M,36.4K,712,2.700,11333.000,0.000,82.000,0.000,27.000,17,922,1
120,0d 0h 1m 50s kl 0.000 ,4.0M,36.5K,982,2.700,11333.000,0.000,82.000,0.000,27.000,24,922,1
151,0d 0h 2m 20s kl -0.000 ,5.1M,37.0K,1252,2.700,11333.000,0.000,82.000,0.000,27.000,19,922,1
181,0d 0h 2m 50s kl 0.000 ,6.2M,36.8K,1522,2.700,11333.000,0.000,82.000,0.000,27.000,24,922,1
211,0d 0h 3m 21s kl 0.000 ,7.3M,36.4K,1792,2.700,11333.000,0.000,82.000,0.000,27.000,24,922,1
241,0d 0h 3m 50s kl 0.000 ,8.4M,36.3K,2056,2.700,11333.000,0.000,82.000,0.000,27.000,24,922,1
271,0d 0h 4m 20s kl 0.000 ,9.5M,36.3K,2320,2.700,11333.000,0.000,82.000,0.000,27.000,19,922,1
301,0d 0h 4m 50s kl 0.000 ,10.6M,37.0K,2590,2.700,11333.000,0.000,82.000,0.000,27.000,25,1331,1
331,0d 0h 5m 21s kl 0.011 ,11.7M,36.4K,2860,2.700,11333.000,0.000,82.000,0.000,27.000,25,922,1
361,0d 0h 5m 50s kl 0.000 ,12.8M,36.4K,3124,2.700,11333.000,0.000,82.000,0.000,27.000,18,922,1
391,0d 0h 6m 21s kl 0.000 ,13.9M,36.3K,3394,2.700,11333.000,0.000,82.000,0.000,27.000,25,922,1
421,0d 0h 6m 51s kl 0.000 ,15.0M,36.3K,3658,2.700,11333.000,0.000,82.000,0.000,27.000,25,922,1
451,0d 0h 7m 21s kl 0.009 ,16.1M,35.9K,3928,2.700,11333.000,0.000,82.000,0.000,27.000,25,922,1
481,0d 0h 7m 51s kl 0.000 ,17.2M,36.4K,4190,0.700,250801.000,0.000,1023.000,0.000,7.000,25,922,1
511,0d 0h 8m 21s kl 0.000 ,18.3M,36.2K,4460,0.700,250801.000,0.000,1023.000,0.000,7.000,18,922,1
541,0d 0h 8m 51s kl 0.000 ,19.3M,34.5K,4721,0.700,250801.000,0.000,1023.000,0.000,7.000,40,1741,1
571,0d 0h 9m 21s kl 0.051 ,20.4M,34.9K,4974,0.700,250801.000,0.000,1023.000,0.000,7.000,44,1741,1
601,0d 0h 9m 51s kl 0.016 ,21.4M,34.6K,5233,0.700,250801.000,0.000,1023.000,0.000,7.000,39,1741,1
